Date,Open,High,Low,Close,Adj Close,Volume
2022-02-15,88.000000,93.900002,85.500000,93.000000,91.659943,5065302
2022-02-16,93.849998,95.349998,91.650002,92.349998,91.019302,2926957
2022-02-17,93.000000,94.000000,89.849998,90.949997,89.639473,1660632
2022-02-18,90.099998,92.250000,88.800003,89.500000,88.210373,1391199
2022-02-21,87.300003,88.800003,84.000000,85.000000,83.775215,2280716
2022-02-22,82.099998,84.150002,79.000000,82.199997,81.015556,3756429
2022-02-23,83.699997,89.400002,83.650002,88.449997,87.175499,4151948
2022-02-24,80.000000,86.699997,79.000000,80.400002,79.241501,4939703
2022-02-25,84.000000,88.000000,83.300003,86.650002,85.401443,2777725
2022-02-28,85.750000,89.699997,83.000000,88.800003,87.520462,3275368
2022-03-02,88.800003,92.650002,87.949997,91.250000,89.935158,2591840
2022-03-03,93.000000,96.300003,93.000000,93.650002,92.300575,4654026
2022-03-04,93.800003,96.000000,93.199997,95.050003,93.680405,3451752
2022-03-07,95.050003,99.199997,91.699997,96.849998,95.454460,5537738
2022-03-08,98.900002,106.849998,98.849998,104.449997,102.944954,12611029
2022-03-09,107.000000,124.500000,107.000000,122.199997,120.439186,30390620
2022-03-10,126.150002,128.800003,116.650002,118.800003,117.088188,17096674
2022-03-11,118.900002,131.350006,118.199997,129.300003,127.436890,11832339
2022-03-14,130.500000,138.399994,126.400002,128.250000,126.402016,17928708
2022-03-15,129.250000,131.250000,119.000000,123.500000,121.720459,5506550
2022-03-16,126.300003,128.699997,122.050003,123.550003,121.769737,2945217
2022-03-17,126.099998,128.399994,123.599998,125.599998,123.790199,2912101
2022-03-21,129.000000,132.899994,126.050003,129.649994,127.781837,5468764
2022-03-22,130.449997,134.250000,127.000000,129.949997,128.077515,4675237
2022-03-23,131.000000,131.649994,127.550003,128.300003,126.451294,2078333
2022-03-24,127.849998,131.399994,127.150002,128.500000,126.648415,2378219
2022-03-25,129.500000,131.000000,120.300003,123.349998,121.572617,4457976
2022-03-28,124.000000,125.949997,118.349998,123.500000,121.720459,2529048
2022-03-29,123.250000,125.199997,120.300003,121.150002,119.404320,1709228
2022-03-30,122.000000,127.500000,121.449997,124.599998,122.804604,2567024
2022-03-31,125.150002,126.800003,122.650002,125.550003,123.740921,2096593
2022-04-01,125.949997,129.199997,124.650002,126.500000,124.677231,3370244
2022-04-04,127.150002,133.949997,125.500000,130.199997,128.323914,5752711
2022-04-05,131.000000,133.300003,129.699997,131.199997,129.309509,3139943
2022-04-06,131.500000,144.449997,130.949997,138.800003,136.800003,13289549
2022-04-07,142.550003,148.449997,138.000000,142.949997,142.949997,11938682
2022-04-08,145.000000,145.399994,135.750000,138.050003,138.050003,4706037
2022-04-11,138.800003,140.949997,137.699997,138.800003,138.800003,3508730
2022-04-12,138.899994,139.050003,132.149994,134.750000,134.750000,2869611
2022-04-13,135.649994,137.500000,133.000000,133.500000,133.500000,2067068
2022-04-18,133.000000,138.899994,131.500000,136.199997,136.199997,3385434
2022-04-19,137.050003,141.399994,131.000000,134.050003,134.050003,3541631
2022-04-20,134.199997,136.199997,132.149994,133.699997,133.699997,1752561
2022-04-21,134.750000,141.500000,134.550003,136.649994,136.649994,3493516
2022-04-22,136.000000,144.449997,135.000000,140.000000,140.000000,6380768
2022-04-25,139.399994,141.300003,132.149994,133.750000,133.750000,3730925
2022-04-26,135.250000,136.949997,131.600006,132.699997,132.699997,3458378
2022-04-27,132.199997,132.899994,126.300003,128.600006,128.600006,2361129
2022-04-28,129.850006,131.500000,126.949997,128.800003,128.800003,2190750
2022-04-29,129.800003,132.699997,126.650002,127.500000,127.500000,2124934
2022-05-02,126.000000,126.699997,120.599998,123.050003,123.050003,3344265
2022-05-04,123.099998,126.400002,115.000000,117.650002,117.650002,3299672
2022-05-05,118.650002,124.000000,118.650002,122.750000,122.750000,2609594
2022-05-06,120.550003,121.000000,117.349998,120.050003,120.050003,2047067
2022-05-09,117.300003,119.449997,113.199997,114.500000,114.500000,1940168
2022-05-10,113.050003,118.699997,107.300003,108.900002,108.900002,2308378
2022-05-11,109.599998,111.900002,99.000000,105.050003,105.050003,3938336
2022-05-12,103.550003,106.449997,101.199997,103.250000,103.250000,2386935
2022-05-13,106.000000,110.650002,103.050003,104.150002,104.150002,3864666
2022-05-16,105.699997,115.699997,105.050003,112.550003,112.550003,2823480
2022-05-17,116.000000,120.199997,115.000000,119.400002,119.400002,3310867
2022-05-18,120.400002,122.400002,115.300003,119.500000,119.500000,4537260
2022-05-19,115.099998,119.000000,113.650002,116.650002,116.650002,2464273
2022-05-20,119.400002,121.349998,117.650002,119.800003,119.800003,1502683
2022-05-23,120.000000,120.400002,115.099998,115.949997,115.949997,1002931
2022-05-24,116.000000,116.800003,105.000000,109.900002,109.900002,3917731
2022-05-25,106.599998,108.750000,99.000000,99.349998,99.349998,4553051
2022-05-26,98.400002,104.500000,96.449997,103.250000,103.250000,3455704
2022-05-27,104.500000,106.199997,103.250000,104.550003,104.550003,2119716
2022-05-30,106.000000,109.500000,105.650002,107.800003,107.800003,1649471
2022-05-31,107.750000,111.949997,106.050003,109.949997,109.949997,1976002
2022-06-01,109.000000,113.500000,109.000000,112.449997,112.449997,2703824
2022-06-02,112.500000,114.099998,110.099998,111.800003,111.800003,1721421
2022-06-03,112.800003,112.800003,107.150002,108.349998,108.349998,1336588
2022-06-06,107.300003,111.199997,105.699997,110.150002,110.150002,2267883
2022-06-07,109.699997,113.150002,108.599998,111.699997,111.699997,1639926
2022-06-08,110.150002,110.900002,104.000000,105.449997,105.449997,1781826
2022-06-09,103.599998,105.699997,102.050003,105.050003,105.050003,1415150
